report_id,source_id,source_name,source_document_title,source_link,source_publication_date,source_retrieved_at,disease_name,disease_type,country_or_territory,administrative_division_level_1,administrative_division_level_2,administrative_division_level_3,is_in_europe,species,cases,dead,killed,slaughtered,vaccinated,confirmation_date,status,relevance_level,relevance_rationale,severity_level,severity_rationale,reach_level,reach_rationale,has_consequences,consequences,control_measures,prevention_measures,research_references
gefluegelnews:100000-legehennen-wegen-newcastle-krankheit-gekeult,gefluegelnews,Gefluegelnews,100.000 Legehennen wegen Newcastle-Krankheit gekeult,https://www.gefluegelnews.de/article/100000-legehennen-wegen-newcastle-krankheit-gekeult,2026-03-03,2026-05-29T09:42:23.262887+00:00,Newcastle disease,viral,Germany,Bavaria,Erding,,true,laying hens,,,100000,,,,confirmed,high,Outbreak of Newcastle disease in a large commercial poultry farm requiring mass culling.,high,"100,000 laying hens were culled to control the outbreak.",regional,The outbreak affects the district of Erding and extends into the neighboring districts of Landshut and Freising.,true,"Establishment and expansion of protection and surveillance zones, mandatory inspection of all poultry farms in the affected areas, and culling of 100,000 hens.","[""culling of 100,000 laying hens"", ""establishment of protection zones"", ""establishment of surveillance zones"", ""inspection of poultry farms in the affected areas""]","[{""prevention_type"": ""surveillance"", ""raw_evidence"": ""Geflügelhalter sollten sich umgehend beim Veterinäramt melden, wenn sie Krankheitssymptome in ihren Beständen beobachten, so der Landkreis."", ""text"": ""report disease symptoms to the veterinary office immediately""}]",[]
gefluegelnews:12-osnabrucker-geflugelsymposium-richtungsweisend,gefluegelnews,Gefluegelnews,12. Osnabrücker Geflügelsymposium: Richtungsweisend,https://www.gefluegelnews.de/article/12-osnabrucker-geflugelsymposium-richtungsweisend,2025-02-05,2026-05-29T09:42:27.139913+00:00,Avian influenza,viral,Germany,,,,true,poultry,,,,,,,,low,"The report mentions the disease only in the context of a general industry symposium update, stating it currently seems manageable.",low,The text explicitly states that the disease currently seems manageable.,local,The mention is limited to a brief update provided at a symposium in Osnabrück.,false,,,[],[]
gefluegelnews:13-osnabrucker-geflugelsymposium-diskussionen-um-impfung-und-keulung,gefluegelnews,Gefluegelnews,13. Osnabrücker Geflügelsymposium: Diskussionen um Impfung und Keulung,https://www.gefluegelnews.de/article/13-osnabrucker-geflugelsymposium-diskussionen-um-impfung-und-keulung,2026-05-26,2026-05-29T09:42:28.097923+00:00,Avian influenza,viral,Germany,Niedersachsen,,,true,geflügel,,,1600000,,,,ongoing,high,The report discusses significant outbreaks of HPAI and Newcastle Disease affecting the poultry industry with major economic and animal welfare implications.,high,1.6 million animals died or were culled in Lower Saxony alone during the 2025/26 season.,national,,true,"Massive economic losses, high costs for animal disease funds, emotional burden on staff, and potential trade restrictions.","[""culling"", ""bestandsräumung"", ""impfpflicht gegen ND"", ""intensive überwachung""]","[{""prevention_type"": ""biosecurity"", ""raw_evidence"": ""Mit zur weiteren Optimierung bei trägt das verpflichtende Erstellen von Biosicherheits-Managementplänen."", ""text"": ""Biosicherheits-Managementpläne""}, {""prevention_type"": ""vaccination"", ""raw_evidence"": ""Hinzugekommen ist jetzt auch die -mögliche- Impfung gegen Geflügelpest als weitere Säule der Bekämpfung."", ""text"": ""Impfung gegen Geflügelpest""}]",[]
gefluegelnews:145-ausgesetzte-mastkuken-leipziger-polizei-und-tierheim-im-rettungseinsatz,gefluegelnews,Gefluegelnews,145 ausgesetzte Mastküken: Leipziger Polizei und Tierheim im Rettungseinsatz,https://www.gefluegelnews.de/article/145-ausgesetzte-mastkuken-leipziger-polizei-und-tierheim-im-rettungseinsatz,2025-03-05,2026-05-29T09:42:28.975713+00:00,Avian influenza,viral,Germany,Saxony,Landkreis Leipzig,Schkeuditz,true,chickens,,,,,,,,low,The report explicitly states there is no connection between the abandoned chicks and the avian influenza outbreak in the region.,low,The disease is mentioned only to clarify that the animal welfare incident is unrelated to the ongoing outbreak.,local,The outbreak of avian influenza is localized to the Landkreis Leipzig.,true,An administrative offense proceeding has been initiated against the owner of the abandoned chicks.,[],[],[]
gefluegelnews:36-millionen-euro-mehr-fur-die-tierseuchenkasse-sind-ein-foulspiel-gegen-geflugelhalter,gefluegelnews,Gefluegelnews,"„3,6 Millionen Euro mehr für die Tierseuchenkasse sind ein Foulspiel gegen Geflügelhalter""",https://www.gefluegelnews.de/article/36-millionen-euro-mehr-fur-die-tierseuchenkasse-sind-ein-foulspiel-gegen-geflugelhalter,2022-10-06,2026-05-29T09:42:48.635174+00:00,Avian influenza,viral,Germany,Niedersachsen,,,true,poultry,,,,,,,ongoing,medium,The report discusses the financial burden and policy implications of managing ongoing avian influenza outbreaks in Germany.,medium,"The text describes a severe outbreak situation impacting poultry farmers, though specific mortality numbers are not provided.",regional,The report focuses on the impact of disease management and funding policies within the state of Niedersachsen.,true,Proposed reduction in EU co-financing for disease outbreaks from 50% to 30% creates significant financial burdens for poultry farmers and threatens their existence.,[],[],[]
gefluegelnews:426-eier-pro-henne-in-90-wochen-schottische-neueinsteiger-meistern-legehennenhaltung,gefluegelnews,Gefluegelnews,426 Eier pro Henne in 90 Wochen: Schottische Neueinsteiger meistern Legehennenhaltung,https://www.gefluegelnews.de/article/426-eier-pro-henne-in-90-wochen-schottische-neueinsteiger-meistern-legehennenhaltung,2025-06-03,2026-05-29T09:42:52.358868+00:00,,,United Kingdom,Scotland,Aberdeenshire,Abernethy,true,hens,,,,,,,,low,"The report describes successful poultry management practices and biosecurity measures on a farm, not an active disease outbreak.",,,,,false,,[],"[{""prevention_type"": ""vaccination"", ""raw_evidence"": ""Alle Tiere stammen aus einem Jahrgang und werden mit einem standardisierten „Fünf-in-Eins“-Impfplan behandelt"", ""text"": ""standardized five-in-one vaccination plan""}, {""prevention_type"": ""biosecurity"", ""raw_evidence"": ""Gründliche Reinigung und Desinfektion nach jedem Durchgang"", ""text"": ""thorough cleaning and disinfection after each cycle""}, {""prevention_type"": ""biosecurity"", ""raw_evidence"": ""Hinzu kommen konsequente Hygienemaßnahmen wie das Desinfizieren von Schuhwerk, Händewaschen, eingeschränkter Zugang zu den Ställen und die Reinigung aller Fahrzeuge."", ""text"": ""disinfection of footwear, hand washing, restricted access to stables, and cleaning of all vehicles""}]",[]
gefluegelnews:8600-tiere-gekeult-wie-die-vogelgrippe-einen-hof-in-brandenburg-an-den-rand-der-belastbarkeit-brachte,gefluegelnews,Gefluegelnews,8600 Tiere gekeult: Wie die Vogelgrippe einen Hof in Brandenburg an den Rand der Belastbarkeit brachte,https://www.gefluegelnews.de/article/8600-tiere-gekeult-wie-die-vogelgrippe-einen-hof-in-brandenburg-an-den-rand-der-belastbarkeit-brachte,2026-02-08,2026-05-29T09:43:10.128943+00:00,Avian influenza,viral,Germany,Brandenburg,Oberhavel,Kremmen,true,geese and ducks,,,8600,,,,confirmed,high,Outbreak of highly pathogenic H5N1 in a commercial poultry farm causing significant economic impact and culling.,high,"The entire stock of 8,600 birds was culled due to the infection.",local,The outbreak was contained within a single farm in Kremmen.,true,"Economic loss in the six-figure range, loss of the entire pre-Christmas poultry business, and significant costs for disinfection and animal replacement.","[""culling of 8,600 geese and ducks"", ""disinfection of surfaces, stables, and equipment""]",[],[]
gefluegelnews:abhangigkeit-von-china-gefahrdet-futtermittelversorgung-dvt-fordert-politisches-handeln,gefluegelnews,Gefluegelnews,Abhängigkeit von China gefährdet Futtermittelversorgung: DVT fordert politisches Handeln,https://www.gefluegelnews.de/article/abhangigkeit-von-china-gefahrdet-futtermittelversorgung-dvt-fordert-politisches-handeln,2025-12-10,2026-05-29T09:43:14.853913+00:00,,,Germany,,,,true,,,,,,,,,low,"The text mentions animal diseases only as a general factor expected to impact business performance in the fourth quarter, without specifying a disease or location.",,,,,false,,,[],[]
gefluegelnews:ablehnende-haltung-zur-impfung-gegen-vogelgrippe-kippt-weltweit,gefluegelnews,Gefluegelnews,Ablehnende Haltung zur Impfung gegen Vogelgrippe kippt weltweit,https://www.gefluegelnews.de/article/ablehnende-haltung-zur-impfung-gegen-vogelgrippe-kippt-weltweit,2023-02-23,2026-05-29T09:43:15.837680+00:00,Avian influenza,viral,,Nouvelle-Aquitaine,Landes,Castelnau-Tursan,,poultry,,,,,,,,high,The report discusses the global shift in policy regarding avian influenza vaccination due to the inadequacy of culling measures.,high,Over 200 million animals have died or been culled globally since 2022 due to the virus.,international,The report addresses the global spread of the virus and international policy shifts regarding vaccination.,true,Economic losses from culling millions of birds and potential trade barriers for countries adopting vaccination.,"[""culling""]","[{""prevention_type"": ""vaccination"", ""raw_evidence"": ""Jetzt, wo das tödliche Virus zum x-ten Mal ausbricht, ist es seiner Meinung nach an der Zeit für die Lösung, die lange Zeit als Tabu galt: die Impfung."", ""text"": ""vaccination""}]",[]
gefluegelnews:achtung-fehlender-biosicherheitsplan-kann-richtig-viel-geld-kosten,gefluegelnews,Gefluegelnews,Achtung: Fehlender Biosicherheitsplan kann richtig viel Geld kosten!,https://www.gefluegelnews.de/article/achtung-fehlender-biosicherheitsplan-kann-richtig-viel-geld-kosten,2025-10-17,2026-05-29T09:43:20.554633+00:00,Avian influenza,viral,Germany,Niedersachsen,Cloppenburg,Garrel,true,turkeys,,,,,,,confirmed,high,Outbreak of highly pathogenic avian influenza in a major poultry-producing region of Germany.,medium,The report focuses on the economic impact of a single outbreak and the regulatory response rather than mass mortality figures.,regional,The outbreak is localized to a specific municipality in Lower Saxony.,true,Risk of up to 25% reduction in compensation payments for poultry farmers who fail to provide a biosecurity management plan by 2026.,,"[{""prevention_type"": ""biosecurity"", ""raw_evidence"": ""dass alle Geflügelhalter zum 1. Januar 2026 einen Biosicherheits-Managementplan für ihren Betrieb vorlegen müssen."", ""text"": ""Establishment of a biosecurity management plan for poultry farms""}]",[]
