"Reference";"National reference";"Country/Territory";"Typ";"Disease name";"Disease type";"Epidemiological unit";"Submitted on";"Modified on";"Administrative division level 1";"Administrative division level 2";"Administrative division level 3";"Outbreak occurring inside an already restricted zone";"Latitude";"Longitude";"Approximate location";"Location";"Wildlife type 1";"Production Type 1";"Water type 1";"Production system 1";"Measuring unit 1";"Susceptible 1";"Cases 1";"Dead 1";"Killed 1";"Slaughtered 1";"Vaccinated 1";"Outbreak year";"Suspicion/Start date";"Confirmation date";"End date";"Status Continuing/Resolved";"Suspicion";"Clinical signs";"Diagnostic tests";"Necropsy";"Category 1";"Subcategory 1";"Test name 1";"Test type 1";"Laboratory type 1";"Species 1";"Result date 1";"Result type 1";"Pertinence"
"IT-SHB-2025-xghqg";"SHB_2025_0016-zutgb";"Italien";"Secondary";"Aethina tumida (Inf. with)(Small hive beetle)(2006-)";NaN;"Apiary";"2026-05-13";"2026-05-13";"Sicily";"Messina";"Messina";NaN;"38,2093070701438";"15,521267481292263";"false";"Messina";NaN;NaN;NaN;NaN;"Hives";"1";"1";"0";"0";NaN;NaN;"2025";"2025-12-10";"2025-12-24";NaN;"Continuing";"false";"true";"true";"false";"Other (other than pathogen or antibody detection)";"Other (tests other than pathogen or antibody detection)";"Morphological identification";"Laboratory";"National Reference Laboratory";"Bees";"2025-12-24";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-xsyaz";"26-015-a0jke";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-05-19";"2026-05-19";"Nordrhein-Westfalen";"Ennepe-Ruhr-Kreis";"Witten";"true";"51,4100000000000";"7,350000000000000";"true";"Witten";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-01-27";"2026-01-30";"2026-01-30";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-01-30";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-yy25e";"26-015-mqw20";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-20";"2026-04-20";"Hessen";"Hersfeld-Rotenburg";"Heringen (Werra)";"true";"50,9100000000000";"10,010000000000000";"true";"Heringen (Werra)";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-01-19";"2026-02-02";"2026-04-17";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anserinae (unidentified)";"2026-01-31";"Positive";"EU and WOAH"
"IS-HPAI(NON-P)-2026-xvb7r";"WB-r4a6d";"Island";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-05-05";"2026-05-05";"Höfuðborgarsvæði";"Reykjavík";NaN;"false";"64,1396862373532";"-21,964239913973078";"false";"Reykjavík";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-02-06";"2026-02-16";NaN;"Continuing";"false";"true";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"National Reference Laboratory";"Anser anser";"2026-02-16";"Positive";"EU and WOAH"
"IS-HPAI(NON-P)-2026-65set";"WB-nvcax";"Island";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-05-06";"2026-05-06";"Höfuðborgarsvæði";"Reykjavík";NaN;"false";"64,1555608505276";"-21,962849603184615";"false";"Reykjavík";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-02-02";"2026-02-24";NaN;"Continuing";"false";"true";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"National Reference Laboratory";"Anser anser";"2026-02-24";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-z3q5j";"26-015-p6wey";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-05-07";"2026-05-07";"Nordrhein-Westfalen";"Unna";"Lünen";"true";"51,6100000000000";"7,500000000000000";"true";"Lünen";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-02-02";"2026-03-04";"2026-02-10";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-02-10";"Positive";"EU and WOAH"
"PL-HPAI(NON-P)-2026-zd5x7";"2026/214-3lhpi";"Polen";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Body of water";"2026-04-22";"2026-04-22";"Lubelskie";"Puławy";"Janowiec";"false";"51,3144155783937";"21,886018428419263";"false";"Janowiec";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-03-03";"2026-03-05";"2026-03-05";"Resolved";"false";"true";"true";"true";"Pathogen detection";"Nucleic acid detection";"Real-time reverse transcription polymerase chain reaction (rRT-PCR)";"Laboratory";"National Reference Laboratory";"Cygnus olor";"2026-03-05";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-k4u2t";"26-015-0e3dr";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-23";"2026-04-23";"Niedersachsen";"Oldenburg";"Wildeshausen";"true";"52,8900000000000";"8,449999999999999";"true";"Wildeshausen";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-09";"2026-03-13";"2026-03-13";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Accipitridae (incognita)";"2026-03-13";"Positive";"EU and WOAH"
"PL-HPAI(NON-P)-2026-0ryu7";"2026/215-1ukl6";"Polen";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Other";"2026-04-22";"2026-04-22";"Lubelskie";"Ryki";"Ryki";"false";"51,6733992990965";"21,970017888408020";"false";"Potok";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-03-17";"2026-03-18";"2026-03-18";"Resolved";"false";"true";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time reverse transcription polymerase chain reaction (rRT-PCR)";"Laboratory";"National Reference Laboratory";"Buteo buteo";"2026-03-18";"Positive";"EU and WOAH"
"IS-HPAI(NON-P)-2026-skfbw";NaN;"Island";"Primary";"HPAI(NON-P) in Wild Birds";"H5N5";"Not applicable";"2026-05-06";"2026-05-06";"Suðurnes";"Reykjanesbær";NaN;"true";"64,0256176295929";"-22,562812899077951";"false";"Reykjanesbær";"Wild";NaN;NaN;NaN;"Tiere";NaN;NaN;"1";NaN;NaN;NaN;"2026";"2026-03-10";"2026-03-19";"2026-03-19";"Resolved";"false";"true";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"National Reference Laboratory";"Rissa tridactyla";"2026-03-19";"Positive";"EU and WOAH"
