"country";"eventId";"reportId";"disease";"subType";"eventStartDate";"reason";"reportStatus";"submissionDate";"reportNumber"
"Spain";"7151-ytb08";"183170-83w14";"Newcastle disease virus (Inf. with)";NaN;"23.12.2025";"Recurrence of an eradicated disease";"Validated";"14.5.2026";"FUR_9"
"Poland";"7451-fc6d1";"183114-t10zj";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"14.4.2026";"Recurrence of an eradicated disease";"Validated";"14.5.2026";"FUR_6"
"Hungary";"7185-aczd0";"183167-5b6um";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"9.1.2026";"Recurrence of an eradicated disease";"Validated";"14.5.2026";"FUR_2"
"Hungary";"7237-1imgk";"183166-7pu5m";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"27.1.2026";"Recurrence of an eradicated disease";"Validated";"14.5.2026";"FUR_2"
"Hungary";"7228-z89wj";"183165-4ue80";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"24.1.2026";"Recurrence of an eradicated disease";"Validated";"14.5.2026";"FUR_3"
"Hungary";"7172-n8zps";"183164-kntef";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"5.1.2026";"Recurrence of an eradicated disease";"Validated";"14.5.2026";"FUR_5"
"Hungary";"7252-g399t";"183163-auupi";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"4.2.2026";"Recurrence of an eradicated disease";"Validated";"14.5.2026";"FUR_5"
"Moldova";"6428-3sqcj";"183162-puwnl";"African swine fever virus (Inf. with)";NaN;"14.4.2025";"Recurrence of an eradicated disease";"Validated";"14.5.2026";"FUR_82"
"Estonia";"6240-tep6s";"183136-z8c96";"African swine fever virus (Inf. with)";NaN;"2.2.2025";"Recurrence of an eradicated disease";"Validated";"13.5.2026";"FUR_126"
"Italy";"7553-3lxgk";"183144-9nl39";"Porcine reproductive and respiratory syndrome virus (Inf. with)";NaN;"7.3.2025";"Recurrence of an eradicated disease";"Validated";"12.5.2026";"FUR_1"
"Italy";"7551-i85fz";"183143-p6a0a";"Equine arteritis virus (Inf. with)";NaN;"7.3.2025";"Recurrence of an eradicated disease";"Validated";"12.5.2026";"FUR_1"
"Ireland";"7222-hujen";"183142-ykem1";"Bluetongue virus (Inf. with)";"3";"22.1.2026";"First occurrence in the country";"Validated";"12.5.2026";"FUR_8"
"Ireland";"6287-whqkn";"183141-kd27z";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"17.2.2025";"Recurrence of an eradicated disease";"Validated";"12.5.2026";"FUR_35"
"Italy";"7550-tk4cu";"183137-rbgfa";"Echinococcus multilocularis (Inf. with) (2014-)";NaN;"9.1.2025";"First occurrence in a zone or a compartment";"Validated";"12.5.2026";"FUR_1"
"Estonia";"7555-469s7";"183132-c3f2c";"Pathogenic rabbit lagoviruses (Inf. with) (Rabbit haemorrhagic disease)";"RHDV2";"6.5.2026";"Recurrence of an eradicated disease";"Validated";"12.5.2026";"IN"
